anio,indicador,tamano_empresa,valor
2021,J.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,24.64
2021,J.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,30.35
2022,I.1 % de empresas que han realizado ventas por comercio electrónico (0),de_10_a_49,29.41
2022,I.1 % de empresas que han realizado ventas por comercio electrónico (0),de_250_y_mas,56.18
2022,I.1 % de empresas que han realizado ventas por comercio electrónico (0),de_50_a_249,39.69
2022,I.1 % de empresas que han realizado ventas por comercio electrónico (0),total,31.69
2022,I.1.1 % de empresas que han realizado ventas mediante páginas web o apps (0),de_10_a_49,26.23
2022,I.1.1 % de empresas que han realizado ventas mediante páginas web o apps (0),de_250_y_mas,43.49
2022,I.1.1 % de empresas que han realizado ventas mediante páginas web o apps (0),de_50_a_249,31.38
2022,I.1.1 % de empresas que han realizado ventas mediante páginas web o apps (0),total,27.49
2022,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,7.44
2022,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,26.74
2022,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,11.57
2022,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,19.47
2022,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,21.01
2022,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,33.47
2022,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,24.62
2022,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,30.62
2023,"I.1 % de empresas que han realizado ventas por comercio electrónico mediante páginas web, aplicaciones móviles o mensajes tipo EDI (0)",de_10_a_49,28.69
2023,"I.1 % de empresas que han realizado ventas por comercio electrónico mediante páginas web, aplicaciones móviles o mensajes tipo EDI (0)",de_250_y_mas,55.44
2023,"I.1 % de empresas que han realizado ventas por comercio electrónico mediante páginas web, aplicaciones móviles o mensajes tipo EDI (0)",de_50_a_249,3.65
2023,"I.1 % de empresas que han realizado ventas por comercio electrónico mediante páginas web, aplicaciones móviles o mensajes tipo EDI (0)",total,30.67
2023,"I.1.1 % de empresas que han realizado ventas mediante páginas web, apps o plataformas digitales (marketplace) (0)",de_10_a_49,26.32
2023,"I.1.1 % de empresas que han realizado ventas mediante páginas web, apps o plataformas digitales (marketplace) (0)",de_250_y_mas,4.29
2023,"I.1.1 % de empresas que han realizado ventas mediante páginas web, apps o plataformas digitales (marketplace) (0)",de_50_a_249,30.44
2023,"I.1.1 % de empresas que han realizado ventas mediante páginas web, apps o plataformas digitales (marketplace) (0)",total,27.44
2023,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.67
2023,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,26.78
2023,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,12.28
2023,I.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,19.59
2023,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,20.57
2023,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,33.44
2023,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,26.59
2023,I.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,31.03
