anio,indicador,tamano_empresa,valor
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,23.53
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,18.03
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,11.44
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,1.53
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,24.04
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,9.87
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,78.37
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,34.21
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,40.08
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,77.49
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,23.2
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.77
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,26.32
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,22.1
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,22.13
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,4.06
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,25.69
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,22.13
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,6.98
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,2.43
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,27.99
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,5.24
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,13.36
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,10.02
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,34.37
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,11.88
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,24.2
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,11.67
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,27.83
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,21.04
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,29.02
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.24
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.39
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,19.05
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,30.83
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.34
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,36.28
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,13.29
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,42.9
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,19.53
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.01
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,20.18
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,26.22
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,9.36
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,32.04
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,9.69
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,27.57
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,12.53
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,53.4
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,10.62
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,24.84
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,16.69
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,45.5
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,8.66
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,10.47
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,2.25
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,8.72
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,9.86
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,4.06
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,0.94
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,33.08
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,1.82
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,31.06
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,14.28
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,38.19
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,24.14
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,39.31
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,14.43
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,36.54
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,26.62
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,25.96
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,10.72
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.1
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,15.1
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,87.47
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,33.27
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,36.79
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,86.96
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,27.37
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,12.87
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,33.57
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,23.85
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,28.99
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,2.75
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,9.83
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,28.99
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,14.37
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,8.58
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,51.1
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,11.84
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,11.29
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,21.3
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,50.71
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,9.88
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,24.9
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,11.44
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,32.76
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,21.01
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,39.78
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,21.6
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,37.5
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,22.96
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,50.11
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,27.32
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,51.58
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,15.57
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,67.63
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,38.14
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,47.39
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,22.95
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,54.34
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,39.36
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,55.05
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,16.78
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,39.99
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17.9
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,38.71
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,10.66
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,51.26
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,27.4
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,57.27
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,12.01
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,9.71
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,5.11
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,34.15
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,8.77
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,10.73
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,1.82
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,41.39
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,3.48
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,36.92
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17.69
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,27.65
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,27.36
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,55.94
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,18.74
