fecha,interes_trends,marca,categoria_producto,termino_busqueda
2016-02-01,52,Mango,zapatos,mango zapatos
2016-02-01,16,Massimo Dutti,pantalones,massimo dutti pantalones
2016-02-01,0,Massimo Dutti,tops,massimo dutti tops
2016-02-01,23,Massimo Dutti,vestidos,massimo dutti vestidos
2016-02-01,45,Massimo Dutti,zapatos,massimo dutti zapatos
2016-02-01,0,Shein,pantalones,shein pantalones
2016-02-01,0,Shein,tops,shein tops
2016-02-01,2,Shein,vestidos,shein vestidos
2016-02-01,0,Shein,zapatos,shein zapatos
2016-02-01,26,Zara,pantalones,zara pantalones
2016-02-01,12,Zara,tops,zara tops
2016-02-01,34,Zara,vestidos,zara vestidos
2016-02-01,53,Zara,zapatos,zara zapatos
2016-03-01,42,H&M,pantalones,h&m pantalones
2016-03-01,0,H&M,tops,h&m tops
2016-03-01,53,H&M,vestidos,h&m vestidos
2016-03-01,57,H&M,zapatos,h&m zapatos
2016-03-01,31,Mango,pantalones,mango pantalones
2016-03-01,25,Mango,tops,mango tops
2016-03-01,48,Mango,vestidos,mango vestidos
2016-03-01,71,Mango,zapatos,mango zapatos
2016-03-01,23,Massimo Dutti,pantalones,massimo dutti pantalones
2016-03-01,0,Massimo Dutti,tops,massimo dutti tops
2016-03-01,33,Massimo Dutti,vestidos,massimo dutti vestidos
2016-03-01,56,Massimo Dutti,zapatos,massimo dutti zapatos
2016-03-01,0,Shein,pantalones,shein pantalones
2016-03-01,0,Shein,tops,shein tops
2016-03-01,3,Shein,vestidos,shein vestidos
2016-03-01,0,Shein,zapatos,shein zapatos
2016-03-01,32,Zara,pantalones,zara pantalones
2016-03-01,17,Zara,tops,zara tops
2016-03-01,48,Zara,vestidos,zara vestidos
2016-03-01,81,Zara,zapatos,zara zapatos
2016-04-01,33,H&M,pantalones,h&m pantalones
2016-04-01,0,H&M,tops,h&m tops
2016-04-01,63,H&M,vestidos,h&m vestidos
2016-04-01,81,H&M,zapatos,h&m zapatos
2016-04-01,43,Mango,pantalones,mango pantalones
2016-04-01,17,Mango,tops,mango tops
2016-04-01,56,Mango,vestidos,mango vestidos
2016-04-01,95,Mango,zapatos,mango zapatos
2016-04-01,32,Massimo Dutti,pantalones,massimo dutti pantalones
2016-04-01,0,Massimo Dutti,tops,massimo dutti tops
