id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin,cluster_k3
226,45 - 55 años,Hombre,4,3,61 - 100€,2,2,2,3.2,3.4,3.0,5.0,4.5,2.6666666666666665,3.0,1,2
5,18 - 28 años,Mujer,2,5,Menos de 30€,1,1,1,1.4,1.4,1.5,5.0,5.0,1.6666666666666667,1.0,0,0
36,18 - 28 años,Mujer,4,2,61 - 100€,3,5,4,4.4,4.2,3.5,4.0,5.0,3.6666666666666665,5.0,1,1
278,56 años o más,Mujer,5,3,61 - 100€,2,3,1,1.6,1.8,1.0,5.0,1.0,2.6666666666666665,2.0,1,2
209,45 - 55 años,Mujer,3,3,61 - 100€,1,1,1,1.8,2.0,2.0,5.0,3.0,2.0,2.5,0,0
306,45 - 55 años,Mujer,4,5,61 - 100€,4,3,5,3.4,2.8,3.5,5.0,4.5,4.0,2.0,1,1
295,29 - 44 años,Mujer,3,2,61 - 100€,3,4,3,4.4,3.2,3.5,5.0,5.0,4.0,3.5,1,1
293,29 - 44 años,Mujer,4,2,61 - 100€,4,4,3,4.0,3.6,3.5,4.0,3.5,4.0,3.0,1,1
245,45 - 55 años,Mujer,5,5,101 - 200€,2,1,1,3.0,2.8,2.0,5.0,4.0,3.333333333333333,4.5,1,2
112,18 - 28 años,Hombre,1,5,Menos de 30€,4,2,1,1.8,1.6,2.5,5.0,5.0,1.6666666666666667,1.5,0,0
91,18 - 28 años,Mujer,5,4,101 - 200€,4,4,5,4.8,4.4,3.5,4.0,5.0,3.6666666666666665,4.0,1,1
271,45 - 55 años,Mujer,4,4,30 - 60€,2,4,3,4.4,3.0,2.0,5.0,5.0,1.6666666666666667,5.0,0,2
170,29 - 44 años,Mujer,5,1,101 - 200€,1,2,1,1.6,2.2,1.5,5.0,5.0,1.0,2.0,0,0
109,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0,0
93,18 - 28 años,Mujer,3,2,30 - 60€,4,4,5,5.0,4.4,3.0,4.0,5.0,4.0,4.0,1,1
290,29 - 44 años,Hombre,2,4,Menos de 30€,2,1,1,1.0,1.0,1.0,5.0,4.0,1.0,1.0,0,0
