fecha,marca,valor_trends,n_posts,engagement_total
2016-11-01,zara,67.5,0.0,0.0
2016-12-01,hm,65.0,0.0,0.0
2016-12-01,mango,64.5,0.0,0.0
2016-12-01,massimo_dutti,57.0,0.0,0.0
2016-12-01,shein,72.75,0.0,0.0
2016-12-01,zara,59.75,0.0,0.0
2017-01-01,hm,53.0,0.0,0.0
2017-01-01,mango,51.2,0.0,0.0
2017-01-01,massimo_dutti,87.0,0.0,0.0
2017-01-01,shein,30.8,0.0,0.0
2017-01-01,zara,51.8,0.0,0.0
2017-02-01,hm,43.0,0.0,0.0
2017-02-01,mango,34.75,0.0,0.0
2017-02-01,massimo_dutti,41.0,0.0,0.0
2017-02-01,shein,35.25,0.0,0.0
2017-02-01,zara,34.0,0.0,0.0
2017-03-01,hm,45.0,0.0,0.0
2017-03-01,mango,37.25,0.0,0.0
2017-03-01,massimo_dutti,48.0,0.0,0.0
2017-03-01,shein,48.25,0.0,0.0
2017-03-01,zara,39.75,0.0,0.0
2017-04-01,hm,51.0,0.0,0.0
2017-04-01,mango,38.0,0.0,0.0
2017-04-01,massimo_dutti,45.0,0.0,0.0
2017-04-01,shein,42.2,0.0,0.0
2017-04-01,zara,43.8,0.0,0.0
2017-05-01,hm,57.0,0.0,0.0
2017-05-01,mango,39.75,0.0,0.0
2017-05-01,massimo_dutti,48.0,0.0,0.0
2017-05-01,shein,43.5,0.0,0.0
2017-05-01,zara,45.25,0.0,0.0
2017-06-01,hm,62.0,0.0,0.0
2017-06-01,mango,47.25,0.0,0.0
2017-06-01,massimo_dutti,52.0,0.0,0.0
2017-06-01,shein,52.75,0.0,0.0
2017-06-01,zara,45.75,0.0,0.0
2017-07-01,hm,50.0,0.0,0.0
2017-07-01,mango,39.2,0.0,0.0
2017-07-01,massimo_dutti,53.0,0.0,0.0
2017-07-01,shein,54.6,0.0,0.0
2017-07-01,zara,42.0,0.0,0.0
2017-08-01,hm,46.0,0.0,0.0
2017-08-01,mango,35.75,0.0,0.0
2017-08-01,massimo_dutti,41.0,0.0,0.0
2017-08-01,shein,56.5,0.0,0.0
2017-08-01,zara,37.5,0.0,0.0
2017-09-01,hm,57.0,0.0,0.0
2017-09-01,mango,41.25,0.0,0.0
2017-09-01,massimo_dutti,47.0,0.0,0.0
2017-09-01,shein,55.0,0.0,0.0
2017-09-01,zara,44.75,0.0,0.0
2017-10-01,hm,57.0,0.0,0.0
2017-10-01,mango,40.0,0.0,0.0
2017-10-01,massimo_dutti,47.0,0.0,0.0
2017-10-01,shein,62.6,0.0,0.0
2017-10-01,zara,45.4,0.0,0.0
2017-11-01,hm,76.0,0.0,0.0
2017-11-01,mango,65.0,0.0,0.0
2017-11-01,massimo_dutti,74.0,0.0,0.0
2017-11-01,shein,84.25,0.0,0.0
2017-11-01,zara,67.25,0.0,0.0
2017-12-01,hm,77.0,0.0,0.0
2017-12-01,mango,51.2,0.0,0.0
2017-12-01,massimo_dutti,60.0,0.0,0.0
2017-12-01,shein,64.4,0.0,0.0
2017-12-01,zara,57.0,0.0,0.0
2018-01-01,hm,77.0,0.0,0.0
2018-01-01,mango,42.25,0.0,0.0
2018-01-01,massimo_dutti,93.0,0.0,0.0
2018-01-01,shein,,0.0,0.0
2018-01-01,zara,59.5,0.0,0.0
2018-02-01,hm,55.0,0.0,0.0
2018-02-01,mango,33.25,0.0,0.0
2018-02-01,massimo_dutti,51.0,0.0,0.0
2018-02-01,shein,,0.0,0.0
2018-02-01,zara,40.0,0.0,0.0
2018-03-01,hm,65.0,0.0,0.0
2018-03-01,mango,34.25,0.0,0.0
2018-03-01,massimo_dutti,49.0,0.0,0.0
2018-03-01,shein,,0.0,0.0
2018-03-01,zara,39.5,0.0,0.0
2018-04-01,hm,75.0,0.0,0.0
2018-04-01,mango,39.4,0.0,0.0
2018-04-01,massimo_dutti,49.0,0.0,0.0
2018-04-01,shein,,0.0,0.0
2018-04-01,zara,44.2,0.0,0.0
2018-05-01,hm,78.0,0.0,0.0
2018-05-01,mango,36.25,0.0,0.0
2018-05-01,massimo_dutti,45.0,0.0,0.0
2018-05-01,shein,,0.0,0.0
2018-05-01,zara,41.25,0.0,0.0
2018-06-01,hm,84.0,0.0,0.0
2018-06-01,mango,41.75,0.0,0.0
2018-06-01,massimo_dutti,51.0,0.0,0.0
2018-06-01,shein,,0.0,0.0
2018-06-01,zara,45.75,0.0,0.0
2018-07-01,hm,72.0,0.0,0.0
2018-07-01,mango,35.0,0.0,0.0
2018-07-01,massimo_dutti,53.0,0.0,0.0
2018-07-01,shein,,0.0,0.0
2018-07-01,zara,43.6,0.0,0.0
2018-08-01,hm,59.0,0.0,0.0
2018-08-01,mango,30.75,0.0,0.0
2018-08-01,massimo_dutti,39.0,0.0,0.0
2018-08-01,shein,,0.0,0.0
2018-08-01,zara,37.25,0.0,0.0
2018-09-01,hm,70.0,0.0,0.0
2018-09-01,mango,35.0,0.0,0.0
2018-09-01,massimo_dutti,43.0,0.0,0.0
2018-09-01,shein,,0.0,0.0
2018-09-01,zara,42.8,0.0,0.0
2018-10-01,hm,86.0,0.0,0.0
2018-10-01,mango,43.25,0.0,0.0
2018-10-01,massimo_dutti,52.0,0.0,0.0
2018-10-01,shein,,0.0,0.0
2018-10-01,zara,51.25,0.0,0.0
2018-11-01,hm,100.0,0.0,0.0
2018-11-01,mango,59.75,0.0,0.0
2018-11-01,massimo_dutti,72.0,0.0,0.0
2018-11-01,shein,,0.0,0.0
2018-11-01,zara,63.5,0.0,0.0
2018-12-01,hm,78.0,0.0,0.0
2018-12-01,mango,51.4,0.0,0.0
2018-12-01,massimo_dutti,59.0,0.0,0.0
2018-12-01,shein,31.0,0.0,0.0
2018-12-01,zara,54.2,0.0,0.0
2019-01-01,hm,62.0,0.0,0.0
2019-01-01,mango,47.25,0.0,0.0
2019-01-01,massimo_dutti,94.0,0.0,0.0
2019-01-01,shein,38.75,0.0,0.0
2019-01-01,zara,57.75,0.0,0.0
2019-02-01,hm,52.0,0.0,0.0
2019-02-01,mango,35.0,0.0,0.0
2019-02-01,massimo_dutti,52.0,0.0,0.0
2019-02-01,shein,39.5,0.0,0.0
2019-02-01,zara,38.5,0.0,0.0
2019-03-01,hm,60.0,0.0,0.0
2019-03-01,mango,35.8,0.0,0.0
2019-03-01,massimo_dutti,46.0,0.0,0.0
2019-03-01,shein,44.4,0.0,0.0
2019-03-01,zara,38.6,0.0,0.0
2019-04-01,hm,62.0,0.0,0.0
2019-04-01,mango,37.0,0.0,0.0
2019-04-01,massimo_dutti,44.0,0.0,0.0
2019-04-01,shein,46.5,0.0,0.0
2019-04-01,zara,40.5,0.0,0.0
2019-05-01,hm,77.0,0.0,0.0
2019-05-01,mango,38.0,0.0,0.0
2019-05-01,massimo_dutti,44.0,0.0,0.0
2019-05-01,shein,57.75,0.0,0.0
2019-05-01,zara,43.75,0.0,0.0
2019-06-01,hm,100.0,0.0,0.0
2019-06-01,mango,43.4,0.0,0.0
2019-06-01,massimo_dutti,55.0,0.0,0.0
2019-06-01,shein,69.8,0.0,0.0
2019-06-01,zara,47.6,0.0,0.0
2019-07-01,hm,83.0,0.0,0.0
2019-07-01,mango,34.75,0.0,0.0
2019-07-01,massimo_dutti,54.0,0.0,0.0
2019-07-01,shein,58.0,0.0,0.0
2019-07-01,zara,40.75,0.0,0.0
2019-08-01,hm,71.0,0.0,0.0
2019-08-01,mango,31.5,0.0,0.0
2019-08-01,massimo_dutti,44.0,0.0,0.0
2019-08-01,shein,47.75,0.0,0.0
2019-08-01,zara,36.5,0.0,0.0
2019-09-01,hm,93.0,0.0,0.0
2019-09-01,mango,36.6,0.0,0.0
2019-09-01,massimo_dutti,45.0,0.0,0.0
2019-09-01,shein,47.6,0.0,0.0
2019-09-01,zara,41.6,0.0,0.0
2019-10-01,hm,99.0,0.0,0.0
2019-10-01,mango,43.25,0.0,0.0
2019-10-01,massimo_dutti,53.0,0.0,0.0
2019-10-01,shein,59.0,0.0,0.0
2019-10-01,zara,47.25,0.0,0.0
2019-11-01,hm,96.0,0.0,0.0
2019-11-01,mango,61.5,0.0,0.0
2019-11-01,massimo_dutti,80.0,0.0,0.0
2019-11-01,shein,87.0,0.0,0.0
2019-11-01,zara,65.75,0.0,0.0
2019-12-01,hm,84.0,0.0,0.0
2019-12-01,mango,63.0,0.0,0.0
2019-12-01,massimo_dutti,63.0,0.0,0.0
2019-12-01,shein,64.2,0.0,0.0
2019-12-01,zara,57.6,0.0,0.0
2020-01-01,hm,63.0,0.0,0.0
2020-01-01,mango,69.25,0.0,0.0
2020-01-01,massimo_dutti,100.0,0.0,0.0
2020-01-01,shein,29.75,0.0,0.0
2020-01-01,zara,69.5,0.0,0.0
2020-02-01,hm,52.0,0.0,0.0
2020-02-01,mango,54.75,0.0,0.0
2020-02-01,massimo_dutti,52.0,0.0,0.0
2020-02-01,shein,31.25,0.0,0.0
2020-02-01,zara,46.25,0.0,0.0
2020-03-01,hm,30.0,0.0,0.0
2020-03-01,mango,32.8,0.0,0.0
2020-03-01,massimo_dutti,25.0,0.0,0.0
2020-03-01,shein,30.0,0.0,0.0
2020-03-01,zara,29.0,0.0,0.0
2020-04-01,hm,46.0,0.0,0.0
2020-04-01,mango,37.5,0.0,0.0
2020-04-01,massimo_dutti,25.0,0.0,0.0
2020-04-01,shein,52.0,0.0,0.0
2020-04-01,zara,36.75,0.0,0.0
2020-05-01,hm,85.0,0.0,0.0
2020-05-01,mango,60.2,0.0,0.0
2020-05-01,massimo_dutti,37.0,0.0,0.0
2020-05-01,shein,83.2,0.0,0.0
2020-05-01,zara,56.2,0.0,0.0
2020-06-01,hm,82.0,0.0,0.0
2020-06-01,mango,66.75,0.0,0.0
2020-06-01,massimo_dutti,48.0,0.0,0.0
2020-06-01,shein,95.25,0.0,0.0
2020-06-01,zara,58.5,0.0,0.0
2020-07-01,hm,64.0,0.0,0.0
2020-07-01,mango,55.75,0.0,0.0
2020-07-01,massimo_dutti,48.0,0.0,0.0
2020-07-01,shein,79.25,0.0,0.0
2020-07-01,zara,48.5,0.0,0.0
2020-08-01,hm,52.0,0.0,0.0
2020-08-01,mango,47.4,0.0,0.0
2020-08-01,massimo_dutti,39.0,0.0,0.0
2020-08-01,shein,63.6,0.0,0.0
2020-08-01,zara,43.2,0.0,0.0
2020-09-01,hm,60.0,0.0,0.0
2020-09-01,mango,55.0,0.0,0.0
2020-09-01,massimo_dutti,39.0,0.0,0.0
2020-09-01,shein,52.5,0.0,0.0
2020-09-01,zara,47.75,0.0,0.0
2020-10-01,hm,70.0,0.0,0.0
2020-10-01,mango,60.5,0.0,0.0
2020-10-01,massimo_dutti,45.0,0.0,0.0
2020-10-01,shein,53.0,0.0,0.0
2020-10-01,zara,50.5,0.0,0.0
2020-11-01,hm,68.0,0.0,0.0
2020-11-01,mango,67.2,0.0,0.0
2020-11-01,massimo_dutti,57.0,0.0,0.0
2020-11-01,shein,62.6,0.0,0.0
2020-11-01,zara,60.4,0.0,0.0
2020-12-01,hm,64.0,0.0,0.0
2020-12-01,mango,60.5,0.0,0.0
2020-12-01,massimo_dutti,49.0,0.0,0.0
2020-12-01,shein,48.0,0.0,0.0
2020-12-01,zara,58.0,0.0,0.0
2021-01-01,hm,62.0,0.0,0.0
2021-01-01,mango,52.0,0.0,0.0
2021-01-01,massimo_dutti,70.0,0.0,0.0
2021-01-01,shein,51.4,0.0,0.0
2021-01-01,zara,68.4,0.0,0.0
2021-02-01,hm,45.0,0.0,0.0
2021-02-01,mango,42.5,0.0,0.0
2021-02-01,massimo_dutti,41.0,0.0,0.0
2021-02-01,shein,59.0,0.0,0.0
2021-02-01,zara,47.25,0.0,0.0
2021-03-01,hm,46.0,0.0,0.0
2021-03-01,mango,43.5,0.0,0.0
2021-03-01,massimo_dutti,31.0,0.0,0.0
2021-03-01,shein,67.25,0.0,0.0
2021-03-01,zara,43.25,0.0,0.0
2021-04-01,hm,47.0,0.0,0.0
2021-04-01,mango,43.5,0.0,0.0
2021-04-01,massimo_dutti,30.0,0.0,0.0
2021-04-01,shein,76.25,0.0,0.0
2021-04-01,zara,41.75,0.0,0.0
2021-05-01,hm,52.0,0.0,0.0
2021-05-01,mango,46.0,0.0,0.0
2021-05-01,massimo_dutti,32.0,0.0,0.0
2021-05-01,shein,90.2,0.0,0.0
2021-05-01,zara,44.6,0.0,0.0
2021-06-01,hm,57.0,0.0,0.0
2021-06-01,mango,53.0,0.0,0.0
2021-06-01,massimo_dutti,39.0,0.0,0.0
2021-06-01,shein,95.75,0.0,0.0
2021-06-01,zara,53.0,0.0,0.0
2021-07-01,hm,46.0,0.0,0.0
2021-07-01,mango,41.75,0.0,0.0
2021-07-01,massimo_dutti,37.0,0.0,0.0
2021-07-01,shein,80.25,0.0,0.0
2021-07-01,zara,43.0,0.0,0.0
2021-08-01,hm,38.0,0.0,0.0
2021-08-01,mango,37.8,0.0,0.0
2021-08-01,massimo_dutti,30.0,0.0,0.0
2021-08-01,shein,67.0,0.0,0.0
2021-08-01,zara,38.4,0.0,0.0
2021-09-01,hm,44.0,0.0,0.0
2021-09-01,mango,45.25,0.0,0.0
2021-09-01,massimo_dutti,37.0,0.0,0.0
2021-09-01,shein,67.75,0.0,0.0
2021-09-01,zara,44.25,0.0,0.0
2021-10-01,hm,52.0,0.0,0.0
2021-10-01,mango,53.8,0.0,0.0
2021-10-01,massimo_dutti,43.0,0.0,0.0
2021-10-01,shein,73.4,0.0,0.0
2021-10-01,zara,50.4,0.0,0.0
2021-11-01,hm,62.0,0.0,0.0
2021-11-01,mango,70.25,0.0,0.0
2021-11-01,massimo_dutti,58.0,0.0,0.0
2021-11-01,shein,82.0,0.0,0.0
2021-11-01,zara,63.5,0.0,0.0
2021-12-01,hm,54.0,0.0,0.0
2021-12-01,mango,57.75,0.0,0.0
2021-12-01,massimo_dutti,47.0,0.0,0.0
2021-12-01,shein,62.5,0.0,0.0
2021-12-01,zara,59.25,0.0,0.0
2022-01-01,hm,48.0,0.0,0.0
2022-01-01,mango,51.2,0.0,0.0
2022-01-01,massimo_dutti,65.0,0.0,0.0
2022-01-01,shein,38.0,0.0,0.0
2022-01-01,zara,68.6,0.0,0.0
2022-02-01,hm,38.0,0.0,0.0
2022-02-01,mango,42.75,0.0,0.0
