anio,indicador,tamano_empresa,n_filas_conflictivas,valores_distintos,decision,archivo
2017,L.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17,"[2.47, 31.04, 35.75, 36.47, 9.88, 37.06, 20.06, 0.96, 20.13, 2.04, 35.91, 46.61, 11.93, 0.59, 6.73, 0.17, 17.86]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,17,"[13.97, 15.02, 19.74, 13.22, 6.37, 18.63, 6.16, 0.61, 14.77, 13.82, 9.38, 45.21, 0.95, 2.38, 3.63, 33.67, 7.28]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,17,"[17.31, 22.45, 22.32, 27.45, 0.59, 29.71, 17.84, 0.71, 15.04, 14.09, 21.18, 45.16, 11.64, 2.84, 4.24, 19.45, 14.57]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,17,"[26.67, 24.31, 18.69, 14.63, 37.64, 25.84, 70.81, 17.24, 2.75, 22.81, 26.15, 47.53, 39.65, 58.13, 29.18, 43.34, 38.96]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,17,"[41.17, 57.13, 5.17, 64.86, 24.21, 64.49, 47.94, 2.53, 29.32, 2.48, 48.79, 48.76, 20.83, 13.83, 41.55, 53.83, 28.08]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,17,"[36.73, 34.87, 36.09, 33.93, 18.03, 48.36, 21.55, 55.07, 38.09, 0.35, 32.68, 46.07, 28.92, 27.89, 25.83, 61.78, 24.68]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,17,"[38.51, 50.12, 41.36, 58.27, 23.08, 61.12, 46.88, 24.79, 30.73, 2.63, 44.76, 47.37, 23.18, 37.57, 33.75, 5.57, 28.55]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2018,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17,"[18.17, 1.72, 27.09, 10.29, 9.66, 12.39, 6.74, 3.24, 2.24, 2.56, 12.51, 87.77, 22.39, 12.76, 8.55, 10.76, 16.91]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[41.68, 48.94, 64.87, 47.44, 37.61, 0.52, 16.25, 4.87, 40.44, 65.85, 48.33, 96.16, 25.66, 31.94, 22.89, 15.47, 28.43]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[28.86, 30.03, 4.75, 26.91, 18.33, 21.37, 8.12, 2.52, 32.09, 40.66, 26.34, 90.29, 19.43, 24.79, 10.44, 14.67, 10.64]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[20.36, 20.41, 31.03, 15.74, 11.49, 15.58, 7.69, 3.18, 24.35, 28.23, 15.29, 88.55, 21.97, 14.04, 9.26, 11.79, 16.23]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
