term,coef
texture,-0.22556837945120803
hit,-0.22630430071925928
times square,-0.2264290345125143
broadway york,-0.2264290345125143
drottninggatan,-0.2264290345125143
fifth,-0.2264290345125143
fifth avenue,-0.2264290345125143
kings,-0.2264290345125143
kings road,-0.2264290345125143
drottninggatan stockholm,-0.2264290345125143
step,-0.23286734797277925
lace,-0.23316808707909484
collection stores,-0.23350971083720193
celebrating,-0.23782481260326846
massimo,-0.23795183713624243
massimo dutti,-0.23795183713624243
great,-0.23930517925021766
shop,-0.24322588168750842
soho,-0.24431994074060387
top,-0.2447654638451793
take,-0.24566272302287268
eye,-0.24804814777630108
street london,-0.2507635229865306
dazy,-0.25184967378967577
agency chief,-0.25268381938864204
chief,-0.25268381938864204
chief creative,-0.25268381938864204
would,-0.2529462513585987
york,-0.2563173964753024
through,-0.2565550207586602
germany,-0.2573163614859072
berlin germany,-0.2573163614859072
ongoing,-0.25987856306379103
refined,-0.26035427326577076
jeans,-0.26568512365392183
little,-0.2657673999419439
fresh,-0.2668649243923208
attitude,-0.2680871515618892
launches,-0.273849499669548
stockholm sweden,-0.2806529519672754
stockholm,-0.2806529519672754
york usa,-0.2806529519672754
sweden,-0.2806529519672754
next,-0.2810914368337459
only,-0.28254657471476086
massimodutti com,-0.28445586195660205
massimodutti,-0.28445586195660205
while,-0.2858449664826475
each,-0.28838162967971825
clean,-0.29045266512113654
form,-0.2928926054958953
power,-0.29371123315662123
palau,-0.2954265971726288
guido palau,-0.2954265971726288
guido,-0.2954265971726288
presence,-0.29573241616743434
sophisticated,-0.30212871739443187
regent street,-0.3043538714340462
regent,-0.3043538714340462
perfect,-0.30536638135017896
wardrobe,-0.3054005807107297
coats,-0.31062577199900326
brown,-0.31186210161918587
textures,-0.3128253006942848
berlin,-0.3132527684405338
dutti,-0.3148843512773315
technical,-0.316243006815472
season,-0.31696657022326313
fall,-0.3185905762366992
selection collection,-0.3211130143968404
avenue,-0.3250585320733854
introducing,-0.33814429023300036
his,-0.34062296403164577
how,-0.34152231525904303
dresses,-0.3468708484688045
live,-0.34982636628056485
summer,-0.3523080968229368
alexandranx,-0.35294094283714617
glow,-0.3539303136398526
which,-0.356841347767284
selected stores,-0.35989177011098833
made,-0.36198087925214206
drops,-0.3634465816086326
celebrate,-0.36672691162583193
ultimate,-0.37149491910528426
trench,-0.37324442297712646
london,-0.38616297061978905
takes,-0.39005229091208327
capsule,-0.3929441641012397
cute,-0.39469047471774954
linen,-0.4003179225327793
marks,-0.40127780583110767
trend,-0.40256547937276577
bags,-0.406355165120493
high,-0.41276341469037253
notes,-0.4206247276679188
autumn,-0.4225570942385908
meet,-0.42970807622487994
fit,-0.4309528773733838
lines,-0.43327469030689036
into process,-0.43481563569258697
artist set,-0.4356098986458056
musera,-0.44483870807975967
soft,-0.44684706958668025
she,-0.4550714949412402
stylist,-0.45557725393247706
statement,-0.4589654096530398
makes,-0.462416062661931
shein,-0.4635567039305184
balance,-0.4685653944357299
stores mango,-0.47887457847725273
comfort,-0.48451394533845055
com top,-0.4849607017295452
confidence,-0.4856143426008871
three,-0.4869424102591605
shirt,-0.4879308274340572
edition,-0.4886835348652036
discover mango,-0.4896716208548374
latest collection,-0.49905365241902055
together,-0.5033483762579966
spring summer,-0.5056220453942164
app,-0.5180499760377577
best,-0.5222222145740925
like,-0.5293608738196747
blazer,-0.5335070835376382
bag,-0.5348788323472644
sweater,-0.5487916400233573
jacket,-0.552701233045819
