fecha,valor_trends,marca,categoria_producto,termino_busqueda,anio,mes_num
2015-11-01,74,hm,zapatos,h&m zapatos,2015,11
2015-11-01,35,mango,pantalones,mango pantalones,2015,11
2015-11-01,17,mango,tops,mango tops,2015,11
2015-11-01,32,mango,vestidos,mango vestidos,2015,11
2015-11-01,69,mango,zapatos,mango zapatos,2015,11
2015-11-01,32,massimo_dutti,pantalones,massimo dutti pantalones,2015,11
2015-11-01,0,massimo_dutti,tops,massimo dutti tops,2015,11
2015-11-01,23,massimo_dutti,vestidos,massimo dutti vestidos,2015,11
2015-11-01,72,massimo_dutti,zapatos,massimo dutti zapatos,2015,11
2015-11-01,0,shein,pantalones,shein pantalones,2015,11
2015-11-01,0,shein,tops,shein tops,2015,11
2015-11-01,2,shein,vestidos,shein vestidos,2015,11
2015-11-01,0,shein,zapatos,shein zapatos,2015,11
2015-11-01,34,zara,pantalones,zara pantalones,2015,11
2015-11-01,17,zara,tops,zara tops,2015,11
2015-11-01,40,zara,vestidos,zara vestidos,2015,11
2015-11-01,75,zara,zapatos,zara zapatos,2015,11
2015-12-01,39,hm,pantalones,h&m pantalones,2015,12
2015-12-01,57,hm,tops,h&m tops,2015,12
2015-12-01,86,hm,vestidos,h&m vestidos,2015,12
2015-12-01,85,hm,zapatos,h&m zapatos,2015,12
2015-12-01,30,mango,pantalones,mango pantalones,2015,12
2015-12-01,38,mango,tops,mango tops,2015,12
2015-12-01,43,mango,vestidos,mango vestidos,2015,12
2015-12-01,58,mango,zapatos,mango zapatos,2015,12
2015-12-01,30,massimo_dutti,pantalones,massimo dutti pantalones,2015,12
2015-12-01,0,massimo_dutti,tops,massimo dutti tops,2015,12
2015-12-01,21,massimo_dutti,vestidos,massimo dutti vestidos,2015,12
2015-12-01,61,massimo_dutti,zapatos,massimo dutti zapatos,2015,12
2015-12-01,0,shein,pantalones,shein pantalones,2015,12
2015-12-01,0,shein,tops,shein tops,2015,12
2015-12-01,2,shein,vestidos,shein vestidos,2015,12
2015-12-01,0,shein,zapatos,shein zapatos,2015,12
2015-12-01,41,zara,pantalones,zara pantalones,2015,12
2015-12-01,26,zara,tops,zara tops,2015,12
2015-12-01,52,zara,vestidos,zara vestidos,2015,12
2015-12-01,75,zara,zapatos,zara zapatos,2015,12
2016-01-01,33,hm,pantalones,h&m pantalones,2016,1
2016-01-01,0,hm,tops,h&m tops,2016,1
2016-01-01,26,hm,vestidos,h&m vestidos,2016,1
2016-01-01,55,hm,zapatos,h&m zapatos,2016,1
2016-01-01,28,mango,pantalones,mango pantalones,2016,1
2016-01-01,17,mango,tops,mango tops,2016,1
2016-01-01,27,mango,vestidos,mango vestidos,2016,1
2016-01-01,59,mango,zapatos,mango zapatos,2016,1
2016-01-01,31,massimo_dutti,pantalones,massimo dutti pantalones,2016,1
2016-01-01,0,massimo_dutti,tops,massimo dutti tops,2016,1
2016-01-01,18,massimo_dutti,vestidos,massimo dutti vestidos,2016,1
2016-01-01,76,massimo_dutti,zapatos,massimo dutti zapatos,2016,1
2016-01-01,0,shein,pantalones,shein pantalones,2016,1
2016-01-01,0,shein,tops,shein tops,2016,1
2016-01-01,2,shein,vestidos,shein vestidos,2016,1
2016-01-01,0,shein,zapatos,shein zapatos,2016,1
2016-01-01,31,zara,pantalones,zara pantalones,2016,1
2016-01-01,9,zara,tops,zara tops,2016,1
2016-01-01,29,zara,vestidos,zara vestidos,2016,1
2016-01-01,62,zara,zapatos,zara zapatos,2016,1
2016-02-01,24,hm,pantalones,h&m pantalones,2016,2
2016-02-01,0,hm,tops,h&m tops,2016,2
2016-02-01,33,hm,vestidos,h&m vestidos,2016,2
2016-02-01,36,hm,zapatos,h&m zapatos,2016,2
2016-02-01,22,mango,pantalones,mango pantalones,2016,2
2016-02-01,0,mango,tops,mango tops,2016,2
2016-02-01,34,mango,vestidos,mango vestidos,2016,2
2016-02-01,52,mango,zapatos,mango zapatos,2016,2
2016-02-01,16,massimo_dutti,pantalones,massimo dutti pantalones,2016,2
2016-02-01,0,massimo_dutti,tops,massimo dutti tops,2016,2
2016-02-01,23,massimo_dutti,vestidos,massimo dutti vestidos,2016,2
2016-02-01,45,massimo_dutti,zapatos,massimo dutti zapatos,2016,2
2016-02-01,0,shein,pantalones,shein pantalones,2016,2
2016-02-01,0,shein,tops,shein tops,2016,2
2016-02-01,2,shein,vestidos,shein vestidos,2016,2
2016-02-01,0,shein,zapatos,shein zapatos,2016,2
2016-02-01,26,zara,pantalones,zara pantalones,2016,2
2016-02-01,12,zara,tops,zara tops,2016,2
2016-02-01,34,zara,vestidos,zara vestidos,2016,2
2016-02-01,53,zara,zapatos,zara zapatos,2016,2
2016-03-01,42,hm,pantalones,h&m pantalones,2016,3
2016-03-01,0,hm,tops,h&m tops,2016,3
2016-03-01,53,hm,vestidos,h&m vestidos,2016,3
2016-03-01,57,hm,zapatos,h&m zapatos,2016,3
2016-03-01,31,mango,pantalones,mango pantalones,2016,3
2016-03-01,25,mango,tops,mango tops,2016,3
2016-03-01,48,mango,vestidos,mango vestidos,2016,3
2016-03-01,71,mango,zapatos,mango zapatos,2016,3
2016-03-01,23,massimo_dutti,pantalones,massimo dutti pantalones,2016,3
2016-03-01,0,massimo_dutti,tops,massimo dutti tops,2016,3
2016-03-01,33,massimo_dutti,vestidos,massimo dutti vestidos,2016,3
2016-03-01,56,massimo_dutti,zapatos,massimo dutti zapatos,2016,3
2016-03-01,0,shein,pantalones,shein pantalones,2016,3
2016-03-01,0,shein,tops,shein tops,2016,3
2016-03-01,3,shein,vestidos,shein vestidos,2016,3
2016-03-01,0,shein,zapatos,shein zapatos,2016,3
2016-03-01,32,zara,pantalones,zara pantalones,2016,3
2016-03-01,17,zara,tops,zara tops,2016,3
2016-03-01,48,zara,vestidos,zara vestidos,2016,3
2016-03-01,81,zara,zapatos,zara zapatos,2016,3
2016-04-01,33,hm,pantalones,h&m pantalones,2016,4
2016-04-01,0,hm,tops,h&m tops,2016,4
2016-04-01,63,hm,vestidos,h&m vestidos,2016,4
2016-04-01,81,hm,zapatos,h&m zapatos,2016,4
2016-04-01,43,mango,pantalones,mango pantalones,2016,4
2016-04-01,17,mango,tops,mango tops,2016,4
2016-04-01,56,mango,vestidos,mango vestidos,2016,4
2016-04-01,95,mango,zapatos,mango zapatos,2016,4
2016-04-01,32,massimo_dutti,pantalones,massimo dutti pantalones,2016,4
2016-04-01,0,massimo_dutti,tops,massimo dutti tops,2016,4
2016-04-01,36,massimo_dutti,vestidos,massimo dutti vestidos,2016,4
2016-04-01,65,massimo_dutti,zapatos,massimo dutti zapatos,2016,4
2016-04-01,0,shein,pantalones,shein pantalones,2016,4
2016-04-01,0,shein,tops,shein tops,2016,4
2016-04-01,6,shein,vestidos,shein vestidos,2016,4
2016-04-01,0,shein,zapatos,shein zapatos,2016,4
2016-04-01,41,zara,pantalones,zara pantalones,2016,4
2016-04-01,27,zara,tops,zara tops,2016,4
2016-04-01,52,zara,vestidos,zara vestidos,2016,4
2016-04-01,91,zara,zapatos,zara zapatos,2016,4
2016-05-01,50,hm,pantalones,h&m pantalones,2016,5
2016-05-01,47,hm,tops,h&m tops,2016,5
2016-05-01,61,hm,vestidos,h&m vestidos,2016,5
2016-05-01,75,hm,zapatos,h&m zapatos,2016,5
2016-05-01,39,mango,pantalones,mango pantalones,2016,5
2016-05-01,42,mango,tops,mango tops,2016,5
2016-05-01,49,mango,vestidos,mango vestidos,2016,5
2016-05-01,100,mango,zapatos,mango zapatos,2016,5
2016-05-01,32,massimo_dutti,pantalones,massimo dutti pantalones,2016,5
2016-05-01,0,massimo_dutti,tops,massimo dutti tops,2016,5
2016-05-01,34,massimo_dutti,vestidos,massimo dutti vestidos,2016,5
2016-05-01,80,massimo_dutti,zapatos,massimo dutti zapatos,2016,5
2016-05-01,0,shein,pantalones,shein pantalones,2016,5
2016-05-01,0,shein,tops,shein tops,2016,5
2016-05-01,3,shein,vestidos,shein vestidos,2016,5
2016-05-01,3,shein,zapatos,shein zapatos,2016,5
2016-05-01,45,zara,pantalones,zara pantalones,2016,5
2016-05-01,38,zara,tops,zara tops,2016,5
2016-05-01,50,zara,vestidos,zara vestidos,2016,5
2016-05-01,95,zara,zapatos,zara zapatos,2016,5
2016-06-01,49,hm,pantalones,h&m pantalones,2016,6
2016-06-01,52,hm,tops,h&m tops,2016,6
2016-06-01,56,hm,vestidos,h&m vestidos,2016,6
2016-06-01,76,hm,zapatos,h&m zapatos,2016,6
2016-06-01,44,mango,pantalones,mango pantalones,2016,6
2016-06-01,45,mango,tops,mango tops,2016,6
2016-06-01,44,mango,vestidos,mango vestidos,2016,6
2016-06-01,75,mango,zapatos,mango zapatos,2016,6
2016-06-01,28,massimo_dutti,pantalones,massimo dutti pantalones,2016,6
2016-06-01,0,massimo_dutti,tops,massimo dutti tops,2016,6
2016-06-01,31,massimo_dutti,vestidos,massimo dutti vestidos,2016,6
2016-06-01,63,massimo_dutti,zapatos,massimo dutti zapatos,2016,6
2016-06-01,0,shein,pantalones,shein pantalones,2016,6
2016-06-01,0,shein,tops,shein tops,2016,6
