fecha,termino,valor_trends,anio,mes_num,grupo,valor_cero_trends
2017-05-01,old money,0.0,2017,5,sofisticado,True
2017-06-01,old money,0.0,2017,6,sofisticado,True
2017-07-01,old money,18.0,2017,7,sofisticado,False
2017-08-01,old money,0.0,2017,8,sofisticado,True
2017-09-01,old money,0.0,2017,9,sofisticado,True
2017-10-01,old money,0.0,2017,10,sofisticado,True
2017-11-01,old money,0.0,2017,11,sofisticado,True
2017-12-01,old money,20.0,2017,12,sofisticado,False
2018-01-01,old money,0.0,2018,1,sofisticado,True
2018-02-01,old money,0.0,2018,2,sofisticado,True
2018-03-01,old money,24.0,2018,3,sofisticado,False
2018-04-01,old money,0.0,2018,4,sofisticado,True
2018-05-01,old money,0.0,2018,5,sofisticado,True
2018-06-01,old money,42.0,2018,6,sofisticado,False
2018-07-01,old money,0.0,2018,7,sofisticado,True
2018-08-01,old money,0.0,2018,8,sofisticado,True
2018-09-01,old money,0.0,2018,9,sofisticado,True
2018-10-01,old money,0.0,2018,10,sofisticado,True
2018-11-01,old money,0.0,2018,11,sofisticado,True
2018-12-01,old money,0.0,2018,12,sofisticado,True
2019-01-01,old money,23.0,2019,1,sofisticado,False
2019-02-01,old money,0.0,2019,2,sofisticado,True
2019-03-01,old money,0.0,2019,3,sofisticado,True
2019-04-01,old money,0.0,2019,4,sofisticado,True
2019-05-01,old money,19.5,2019,5,sofisticado,False
2019-06-01,old money,0.0,2019,6,sofisticado,True
2019-07-01,old money,0.0,2019,7,sofisticado,True
2019-08-01,old money,41.75,2019,8,sofisticado,False
2019-09-01,old money,15.0,2019,9,sofisticado,False
2019-10-01,old money,0.0,2019,10,sofisticado,True
2019-11-01,old money,0.0,2019,11,sofisticado,True
2019-12-01,old money,20.0,2019,12,sofisticado,False
2020-01-01,old money,0.0,2020,1,sofisticado,True
2020-02-01,old money,16.5,2020,2,sofisticado,False
2020-03-01,old money,0.0,2020,3,sofisticado,True
2020-04-01,old money,52.75,2020,4,sofisticado,False
2020-05-01,old money,12.4,2020,5,sofisticado,False
2020-06-01,old money,15.5,2020,6,sofisticado,False
2020-07-01,old money,25.0,2020,7,sofisticado,False
2020-08-01,old money,0.0,2020,8,sofisticado,True
2020-09-01,old money,0.0,2020,9,sofisticado,True
2020-10-01,old money,0.0,2020,10,sofisticado,True
2020-11-01,old money,0.0,2020,11,sofisticado,True
2020-12-01,old money,36.0,2020,12,sofisticado,False
2021-01-01,old money,10.4,2021,1,sofisticado,False
2021-02-01,old money,0.0,2021,2,sofisticado,True
2021-03-01,old money,25.0,2021,3,sofisticado,False
2021-04-01,old money,13.0,2021,4,sofisticado,False
2021-05-01,old money,10.4,2021,5,sofisticado,False
2021-06-01,old money,0.0,2021,6,sofisticado,True
2021-07-01,old money,0.0,2021,7,sofisticado,True
2021-08-01,old money,0.0,2021,8,sofisticado,True
2021-09-01,old money,40.5,2021,9,sofisticado,False
2021-10-01,old money,15.2,2021,10,sofisticado,False
2021-11-01,old money,59.75,2021,11,sofisticado,False
2021-12-01,old money,0.0,2021,12,sofisticado,True
2022-01-01,old money,29.4,2022,1,sofisticado,False
