_fase,fecha,valor_raw,flag,tipo,valor_indice,fuente,indicador,provisional
DESPUES,2011-02-01 00:00:00,,,,114.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-03-01 00:00:00,,,,109.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-04-01 00:00:00,,,,127.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-05-01 00:00:00,,,,110.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-06-01 00:00:00,,,,110.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-07-01 00:00:00,,,,111.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-08-01 00:00:00,,,,108.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-09-01 00:00:00,,,,104.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-10-01 00:00:00,,,,104.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-11-01 00:00:00,,,,104.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-12-01 00:00:00,,,,105.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-01-01 00:00:00,,,,106.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-02-01 00:00:00,,,,103.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-03-01 00:00:00,,,,106.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-04-01 00:00:00,,,,100.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-05-01 00:00:00,,,,104.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-06-01 00:00:00,,,,101.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-07-01 00:00:00,,,,100.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-08-01 00:00:00,,,,99.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-09-01 00:00:00,,,,95.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-10-01 00:00:00,,,,95.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2012-11-01 00:00:00,,,,92.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
