fecha,anio,mes_num,marca,valor_trends,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_eventos_total,n_plataformas,n_tipos_evento
2022-12-01,2022,12,hm,50.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,2023,1,hm,39.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,2023,2,hm,31.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023,3,hm,31.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2023-04-01,2023,4,hm,37.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023,5,hm,34.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,2023,6,hm,36.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,2023,7,hm,32.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2023-08-01,2023,8,hm,27.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,2023,9,hm,31.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,2023,10,hm,31.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,2023,11,hm,45.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2023-12-01,2023,12,hm,40.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,2024,1,hm,31.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024,2,hm,21.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,2024,3,hm,24.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024,4,hm,26.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2024-05-01,2024,5,hm,27.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,2024,6,hm,30.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2024,7,hm,25.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,2024,8,hm,21.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,2024,9,hm,29.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,2024,10,hm,29.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024,11,hm,32.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,2024,12,hm,34.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,2025,1,hm,25.0,instagram,9.0,129668.0,1296.0,130964.0,14407.555555555557,144.0,14551.555555555557,0.0,0.0,0.0
2025-02-01,2025,2,hm,19.0,instagram,11.0,120249.0,1320.0,121569.0,10931.727272727272,120.0,11051.727272727272,0.0,0.0,0.0
2025-03-01,2025,3,hm,20.0,instagram,9.0,172764.0,2962.0,175726.0,19196.0,329.1111111111111,19525.11111111111,1.0,1.0,1.0
2025-04-01,2025,4,hm,22.0,instagram,28.0,286062.0,7763.0,293825.0,10216.5,277.25,10493.75,0.0,0.0,0.0
2025-05-01,2025,5,hm,24.0,instagram,30.0,197494.0,2213.0,199707.0,6583.133333333333,73.76666666666667,6656.9,0.0,0.0,0.0
2025-06-01,2025,6,hm,28.0,instagram,24.0,140204.0,1914.0,142118.0,5841.833333333333,79.75,5921.583333333333,0.0,0.0,0.0
2025-07-01,2025,7,hm,30.0,instagram,19.0,120748.0,2142.0,122890.0,6355.1578947368425,112.73684210526316,6467.894736842105,0.0,0.0,0.0
2025-08-01,2025,8,hm,28.0,instagram,27.0,335821.0,6772.0,342593.0,12437.814814814816,250.8148148148148,12688.62962962963,0.0,0.0,0.0
2025-09-01,2025,9,hm,30.0,instagram,37.0,322381.0,6636.0,329017.0,8713.0,179.35135135135135,8892.351351351352,0.0,0.0,0.0
2025-10-01,2025,10,hm,32.0,instagram,38.0,268741.0,4084.0,272825.0,7072.131578947368,107.47368421052632,7179.605263157895,0.0,0.0,0.0
2025-11-01,2025,11,hm,39.0,instagram,25.0,144699.0,2533.0,147232.0,5787.96,101.32,5889.28,0.0,0.0,0.0
2025-12-01,2025,12,hm,35.0,instagram,23.0,163980.0,3993.0,167973.0,7129.565217391304,173.6086956521739,7303.173913043478,0.0,0.0,0.0
2014-12-01,2014,12,mango,73.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015,1,mango,60.5,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015,2,mango,46.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015,3,mango,51.4,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015,4,mango,52.5,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015,5,mango,48.2,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015,6,mango,56.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015,7,mango,47.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015,8,mango,42.8,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015,9,mango,46.5,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015,10,mango,46.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2015-11-01,2015,11,mango,61.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015,12,mango,65.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016,1,mango,62.6,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016,2,mango,47.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016,3,mango,49.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016,4,mango,53.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016,5,mango,49.8,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016,6,mango,58.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016,7,mango,50.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016,8,mango,43.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016,9,mango,46.5,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2016-10-01,2016,10,mango,52.2,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016,11,mango,68.5,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016,12,mango,64.5,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
