order,seasonal_order,aic,bic,mae,rmse,mape
"(0, 1, 0)","(0, 1, 1, 12)",556.973469001844,561.4704594859428,17.881262218072404,21.409635657836034,14.401635990176281
"(0, 1, 0)","(1, 0, 0, 12)",635.1733785492236,640.0110597648168,15.561163910879225,18.2347417012459,12.568551445093751
"(0, 1, 0)","(1, 0, 1, 12)",630.5378398917084,637.7579976335011,15.561334016669568,18.23508333237708,12.568673926303708
"(0, 1, 0)","(1, 1, 0, 12)",582.8929657105087,587.4183254645914,9.672636687365268,13.353477252238191,7.690448011808547
"(0, 1, 0)","(1, 1, 1, 12)",561.3822463282485,568.1277320543966,20.89950043885128,24.878424614679545,16.850298392274585
"(0, 1, 1)","(0, 0, 0, 12)",699.7377770870434,704.8029760733499,13.816642860025972,16.635008530517663,11.112075109107684
"(0, 1, 1)","(0, 0, 1, 12)",622.3686771252767,629.552024589294,14.128044470956809,16.9944624177016,11.364547283097465
"(0, 1, 1)","(0, 1, 0, 12)",674.5343063737197,679.3232046830645,5.978047182420763,8.953051620770093,4.7503080267003845
"(0, 1, 1)","(0, 1, 1, 12)",549.4377815193707,556.1401010331624,15.544223385115032,19.484652095177974,12.434163552211384
"(0, 1, 1)","(1, 0, 0, 12)",635.5703138583708,642.8268356817606,14.238386841789135,17.117432528940004,11.454463287496846
"(0, 1, 1)","(1, 0, 1, 12)",624.3036516144017,633.8814482330914,14.216474416652588,17.102002059323723,11.43572534761641
"(0, 1, 1)","(1, 1, 0, 12)",577.3405509740822,584.1285906052062,10.464544394406287,14.242996210776374,8.334352632706633
"(0, 1, 1)","(1, 1, 1, 12)",553.034636826746,561.9710628451351,19.981935767633626,24.20705516942716,16.068299384744257
"(0, 1, 2)","(0, 0, 0, 12)",688.889346360062,696.4547120912091,17.939661936490022,20.241364046207586,14.581196549118944
"(0, 1, 2)","(0, 0, 1, 12)",612.4764307976625,622.004537336358,18.101804766941626,20.43278643966779,14.712324552447015
"(0, 1, 2)","(0, 1, 0, 12)",661.4522195489067,668.5982994529284,9.39449107071153,11.836394533476858,7.604034835413113
"(0, 1, 2)","(0, 1, 1, 12)",538.465402781727,547.3434336024314,20.409907905443664,23.68202524460356,16.524671294722108
"(0, 1, 2)","(1, 0, 0, 12)",632.1523049656772,641.8276673968636,17.92944980257622,20.24009161765681,14.571682499076752
