id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
313,45 - 55 años,Mujer,4,4,Más de 200€,2,3,2,1,3.2,2.8,3.0,3.0,4.0,2.5,0.0,0.0
273,45 - 55 años,Mujer,2,5,30 - 60€,2,1,1,0,2.2,1.2,1.0,3.0,4.5,1.5,0.0,0.0
145,45 - 55 años,Mujer,3,4,61 - 100€,1,1,1,0,1.4,2.2,2.5,5.0,3.5,2.5,0.0,0.0
89,18 - 28 años,Hombre,2,1,Menos de 30€,1,1,2,0,2.0,2.4,3.0,5.0,5.0,1.0,0.0,0.0
213,29 - 44 años,Mujer,5,1,30 - 60€,1,3,2,0,2.0,2.0,1.0,4.0,2.5,1.5,0.0,0.0
165,29 - 44 años,Hombre,3,4,61 - 100€,3,1,1,0,3.4,3.4,3.5,4.0,5.0,2.0,0.0,0.0
309,29 - 44 años,Hombre,3,2,61 - 100€,2,3,2,1,3.6,3.8,4.5,5.0,5.0,4.5,1.0,1.0
80,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,1,0,1.4,1.2,1.0,5.0,5.0,1.0,0.0,0.0
1,18 - 28 años,Mujer,4,5,Menos de 30€,3,3,1,0,4.0,2.2,3.0,4.0,4.5,1.0,1.0,0.0
153,45 - 55 años,Mujer,5,5,101 - 200€,3,5,5,1,4.4,3.6,2.0,5.0,5.0,4.0,0.0,1.0
182,18 - 28 años,Mujer,2,4,Menos de 30€,2,3,2,0,3.4,2.8,3.5,4.0,4.0,3.0,0.0,0.0
305,45 - 55 años,Mujer,4,3,30 - 60€,2,3,2,1,3.6,3.2,3.5,5.0,5.0,3.0,1.0,1.0
299,56 años o más,Hombre,2,5,30 - 60€,2,1,1,0,1.6,1.0,1.5,5.0,5.0,1.0,0.0,0.0
315,29 - 44 años,Hombre,2,1,Menos de 30€,1,1,1,0,2.4,1.2,2.5,5.0,5.0,2.5,0.0,0.0
252,29 - 44 años,Mujer,3,3,61 - 100€,3,3,3,1,3.2,3.0,3.5,4.0,4.0,3.0,1.0,0.0
107,56 años o más,Hombre,2,1,30 - 60€,1,1,1,0,1.2,1.0,1.0,1.0,3.0,3.0,0.0,0.0
312,18 - 28 años,Hombre,5,3,101 - 200€,2,2,1,1,3.6,3.6,3.0,5.0,5.0,1.0,1.0,1.0
265,56 años o más,Mujer,4,4,30 - 60€,3,4,4,0,2.8,2.6,3.0,4.0,4.0,3.5,0.0,0.0
191,29 - 44 años,Mujer,3,1,61 - 100€,3,3,3,0,3.8,2.0,2.5,5.0,4.0,1.5,0.0,0.0
63,18 - 28 años,Hombre,2,4,30 - 60€,4,4,2,0,3.6,1.4,3.5,4.0,5.0,1.0,1.0,0.0
52,18 - 28 años,Hombre,3,5,Menos de 30€,2,1,2,1,3.6,2.6,3.0,3.0,2.5,3.0,0.0,0.0
154,56 años o más,Mujer,5,3,61 - 100€,1,2,1,0,1.4,2.2,1.0,5.0,5.0,1.0,0.0,0.0
76,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,3.0,2.0,1.5,0.0,0.0
79,56 años o más,Hombre,5,5,Menos de 30€,1,1,1,0,1.0,1.6,1.0,5.0,4.0,1.0,0.0,0.0
152,45 - 55 años,Hombre,5,3,Más de 200€,2,3,2,1,1.4,3.0,2.0,2.0,1.5,1.5,0.0,0.0
51,45 - 55 años,Mujer,3,1,30 - 60€,4,1,5,0,3.8,4.2,3.0,5.0,5.0,3.0,1.0,1.0
41,56 años o más,Mujer,2,5,Menos de 30€,1,2,1,0,1.4,2.4,2.0,5.0,4.0,3.0,0.0,0.0
158,45 - 55 años,Hombre,3,3,30 - 60€,1,2,1,1,5.0,3.2,1.0,5.0,5.0,2.0,0.0,0.0
251,29 - 44 años,Hombre,3,4,30 - 60€,3,2,2,1,2.8,2.2,2.5,4.0,4.0,2.0,0.0,0.0
95,45 - 55 años,Hombre,2,3,61 - 100€,1,1,1,0,1.0,1.4,1.0,4.0,1.5,1.0,0.0,0.0
69,56 años o más,Mujer,2,2,101 - 200€,1,2,1,0,1.8,3.0,4.0,4.0,3.0,4.0,0.0,0.0
280,29 - 44 años,Mujer,4,3,101 - 200€,4,5,4,1,4.2,3.8,4.0,4.0,4.5,3.0,1.0,1.0
33,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,3,0,2.6,1.6,2.0,4.0,4.0,1.5,0.0,0.0
202,29 - 44 años,Hombre,3,5,30 - 60€,2,2,2,0,3.0,2.8,3.0,4.0,5.0,2.5,1.0,0.0
144,45 - 55 años,Hombre,3,3,30 - 60€,2,1,1,0,2.2,2.4,1.0,1.0,4.0,1.0,0.0,0.0
151,45 - 55 años,Mujer,5,5,61 - 100€,5,4,2,0,4.4,1.2,4.0,5.0,5.0,1.0,1.0,0.0
235,18 - 28 años,Mujer,3,4,30 - 60€,5,3,3,1,3.6,2.8,4.0,2.0,4.5,2.0,0.0,0.0
298,45 - 55 años,Hombre,2,4,101 - 200€,2,2,2,0,2.6,1.6,2.0,5.0,5.0,2.0,0.0,0.0
199,29 - 44 años,Hombre,1,2,101 - 200€,2,1,1,0,3.0,2.6,3.0,3.0,4.0,4.0,1.0,0.0
225,45 - 55 años,Mujer,2,3,30 - 60€,1,4,4,1,4.0,2.4,4.0,5.0,5.0,1.0,0.0,0.0
