timestamp,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,rrss_habituales,marcas_ve_frecuencia_rrss,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,rs_influyen_compra,ha_comprado_por_ver_en_rrss,descubre_marcas_por_rrss,contenido_moda_aumenta_ganas,compra_por_repeticion_rrss,rrss_mas_que_publicidad,atraen_prendas_de_moda,compra_impulso,influye_prueba_social,interes_productos_virales,rrss_aceleran_tendencias,rrss_favorecen_consumo_rapido,ha_comprado_y_apenas_usado,confia_influencers,autenticidad_influencer_compra,influencers_interes_comercial,compra_ult_6m_por_rrss,freq_compra_por_rrss_6m,marcas_que_mas_influyen_compra_rrss,satisfaccion_compra_rrss,arrepentimiento_compra_rrss,seguira_comprando_influido_rrss,recomendaria_productos_descubiertos_rrss,id_respuesta,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
2026-03-15 21:54:23,18 - 28 años,Hombre,2,4,Menos de 30€,Instagram;TikTok;Otra,Zara;Mango;H&M,3,3,3,5,4,5,3,2,4,3,2,3,3,5,5,2,3,4,4,Sí,2.0,Zara;Otra,4,2,3,4,27,1,4.2,2.6,3.5,4.0,5.0,3.6666666666666665,2.0,1.0,0.0
2026-03-15 21:55:49,18 - 28 años,Hombre,2,4,Menos de 30€,Instagram;YouTube;X (Twitter),No me fijo en marcas concretas,3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,3,3,No,1.0,Ninguna,1,1,1,1,28,0,1.0,1.0,2.0,3.0,4.5,1.0,1.0,0.0,0.0
2026-03-15 21:57:16,18 - 28 años,Hombre,3,4,30 - 60€,Instagram;TikTok;YouTube,No me fijo en marcas concretas,2,1,2,2,2,4,3,3,3,3,2,4,2,4,4,1,2,5,5,No,,Ninguna,3,3,1,3,29,0,2.8,2.8,3.5,5.0,4.0,2.333333333333333,2.0,0.0,0.0
2026-03-15 21:58:14,18 - 28 años,Mujer,3,2,30 - 60€,Instagram;TikTok;YouTube;X (Twitter),Zara;Shein;H&M,4,2,2,5,5,5,4,2,5,4,2,3,3,5,5,3,3,4,4,Sí,2.0,Zara;Shein;H&M,3,3,4,4,30,1,4.8,2.8,3.5,4.0,5.0,3.6666666666666665,3.0,1.0,1.0
2026-03-15 21:58:16,18 - 28 años,Mujer,4,3,30 - 60€,Instagram;TikTok;Pinterest,Zara;Shein;H&M,1,2,4,4,4,3,4,3,5,3,3,2,3,4,5,3,3,5,4,No,,Zara;Shein;Mango,3,3,3,3,31,0,4.0,2.8,4.0,4.0,4.5,3.0,3.0,0.0,0.0
2026-03-15 21:59:33,29 - 44 años,Mujer,4,3,30 - 60€,Instagram;YouTube;Pinterest,Zara;Mango;H&M,2,2,2,3,4,4,5,2,5,4,2,2,3,4,3,1,4,5,3,Sí,2.0,Zara;Mango,3,2,4,4,32,1,4.2,2.6,4.5,3.0,3.5,3.6666666666666665,1.5,1.0,1.0
2026-03-15 22:00:27,18 - 28 años,Mujer,3,2,Menos de 30€,Instagram;TikTok;YouTube,Zara;Shein;Mango,2,3,3,2,2,4,1,1,4,2,1,2,2,4,4,1,2,2,4,No,,Shein,2,2,1,3,33,0,2.6,1.6,2.0,4.0,4.0,2.0,1.5,0.0,0.0
2026-03-15 22:02:11,18 - 28 años,Hombre,3,2,30 - 60€,Instagram;YouTube;X (Twitter),Zara;Shein;Otra,2,2,1,1,2,2,2,1,1,2,2,2,2,4,4,2,1,4,4,No,,Ninguna,3,3,2,3,34,0,1.6,1.8,2.5,4.0,4.0,2.6666666666666665,2.5,0.0,0.0
2026-03-15 22:02:44,56 años o más,Hombre,4,5,61 - 100€,Instagram;TikTok,Zara;No me fijo en marcas concretas,1,1,1,3,2,1,2,1,1,2,3,3,1,3,4,2,2,2,4,No,,Ninguna,2,1,2,2,35,0,1.8,2.0,2.0,4.0,3.5,2.0,1.5,0.0,0.0
2026-03-15 22:03:54,18 - 28 años,Mujer,4,2,61 - 100€,Instagram;TikTok;YouTube;Pinterest;X (Twitter),Zara;Shein;Otra,3,5,4,4,5,4,4,4,5,5,4,4,4,5,5,5,3,4,4,Sí,3.0,Zara;Shein,3,5,4,4,36,1,4.4,4.2,3.5,4.0,5.0,3.6666666666666665,5.0,1.0,1.0
2026-03-15 22:03:56,18 - 28 años,Mujer,2,4,Menos de 30€,Instagram;TikTok;Pinterest,Zara;Shein,4,4,4,4,3,4,5,1,5,5,1,2,3,5,5,1,2,4,5,No,,Shein,4,3,1,5,37,0,4.2,2.4,3.0,5.0,5.0,3.333333333333333,2.0,1.0,0.0
2026-03-15 22:06:27,56 años o más,Hombre,3,3,61 - 100€,Instagram;YouTube;Otra,Otra,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,5,No,,Ninguna,1,1,1,1,38,0,1.4,1.2,1.0,5.0,1.5,1.0,1.0,0.0,0.0
